Open,High,Low,Close,Volume,Market Cap
104.65,119.81,104.19,119.27,3656841347,12496945336
104.84,106.06,104.41,104.54,2326764622,10951652648
107.57,107.57,102.93,104.92,2593048199,10990266833
107.63,108.13,106.91,107.44,2515863999,11253035388
107.63,108.70,107.07,107.82,2491888675,11290969364
110.49,110.83,106.56,107.49,2519334757,11254870706
107.47,110.65,106.76,110.43,2385157838,11560765573
107.15,108.64,105.05,107.61,2541271519,11263815610
108.90,110.46,106.53,107.06,2828796031,11204735502
105.41,109.45,104.84,108.91,2874370355,11396282341
106.72,107.17,104.00,105.60,2900418606,11048347342
113.29,113.69,103.34,106.59,3366895505,11150461958
116.51,116.69,113.41,113.41,2775888287,11861671822
116.37,118.08,115.98,116.49,2412181169,12182338148
117.59,117.80,115.83,116.38,2606881898,12168932300
117.46,118.03,116.01,117.36,2520843420,12269992351
118.71,119.42,116.38,117.45,2556952198,12277481872
117.11,119.66,114.68,118.75,2552507405,12410972241
119.64,119.72,116.16,117.16,2421720343,12242940197
124.63,125.07,118.70,119.47,2964108269,12483136112
121.61,125.90,121.16,124.52,3048261797,13007954846
123.65,123.84,120.24,121.01,2305389800,12639234713
123.57,124.27,120.82,123.74,2594091285,12922347330
121.81,127.12,121.44,123.55,2746469340,12899812275
129.17,130.74,120.31,122.03,2735449164,12739543688
116.98,130.86,116.97,129.07,2798085735,13471754802
125.91,126.27,116.09,116.90,2268263944,12199288487
127.53,128.67,125.45,125.97,2212109224,13143426379
127.81,130.17,125.24,127.55,2667585234,13306214134
150.84,152.15,126.53,128.63,3397734456,13416263931
150.55,153.62,150.29,150.80,2369241197,15726845711
151.97,153.63,148.67,150.36,2459808140,15677889902
157.81,158.45,151.15,151.70,2712108388,15814868678
155.80,159.37,152.09,157.75,3231294371,16442429109
154.34,160.82,154.34,155.64,3338211928,16219974745
148.91,156.88,147.91,154.58,3126192535,16107068093
155.20,155.86,147.20,149.14,2676164880,15536849936
141.52,156.93,140.65,155.05,3328240369,16150049902
133.42,141.40,132.65,140.82,2258709868,14665318370
140.03,140.18,132.52,133.37,2358360234,13886837730
137.63,140.69,133.98,139.86,2660086834,14560066114
138.47,147.03,134.57,138.02,3169029972,14365797196
116.90,137.65,115.69,137.65,3130201009,14324511544
131.92,132.68,115.65,116.58,2612804378,12129493222
129.89,136.68,126.29,131.87,2720469126,13717858346
141.00,141.00,125.11,129.84,3298280609,13505089290
130.64,157.67,130.64,140.24,4370343387,14583457939
117.27,133.08,117.27,130.77,3579715061,13595887732
109.46,116.76,107.50,116.76,2338772939,12137481655
115.84,119.09,107.58,109.50,2632539990,11380357569
101.09,117.17,100.64,116.22,3063842618,12076674310
101.68,108.55,100.69,101.27,2456482115,10521416481
95.11,101.32,92.97,101.11,2277514076,10503295749
85.38,96.81,85.38,95.13,2101453024,9880456239
84.47,87.57,84.47,85.26,1565817037,8853567311
84.28,85.34,82.83,84.44,1496176898,8766638124
86.63,87.14,83.23,84.31,1651491877,8751209554
